2026-06-03 22:30:38.136422 | INFO     | pid=175140 tid=5364 | component=viewer role=main | aipacs.main_thread_probe._probe_tick | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [MAIN_THREAD_STALL] stall_start_ms=276169534.237 stall_duration_ms=165.9 gap_ms=165.9 threshold_ms=100.0 interaction_active=False active_viewer_state=unknown active_series_uid= active_series_number= nearest_dm_rebuild=none nearest_viewer_switch=none nearest_progressive=none nearest_fast_drag=none nearest_table_refresh=none corr_session=sess-a816f4796701 corr_mono_ms=276169700.215 stalls_total=3 max_gap_ms=1336.5 t_since_start_s=45.7
2026-06-03 22:30:38.439657 | INFO     | pid=175140 tid=5364 | component=db role=main | database.dicom_db.ensure_report_status_schema | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | ✅ Created indexes for report status
2026-06-03 22:30:38.440223 | INFO     | pid=175140 tid=5364 | component=db role=main | database._pool.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=database.get_db_connection stage=transaction_scope result=ok | stage-timing duration_ms=1.45 caller_area=shared_db_helper viewer_mode=Shared caller_module=database.dicom_db caller_function=ensure_report_status_schema query_type=write thread_role=main
2026-06-03 22:30:38.440605 | INFO     | pid=175140 tid=5364 | component=db role=main | database._pool.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=database.get_db_connection stage=transaction_scope result=ok | stage-timing duration_ms=2.55 caller_area=shared_db_helper viewer_mode=Shared caller_module=database.dicom_db caller_function=init_database query_type=write thread_role=main
2026-06-03 22:30:38.441932 | WARNING  | pid=175140 tid=5364 | component=viewer role=main | PacsClient.pacs.workstation_ui.mainwindow_ui.__init__ | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [STARTUP_STAGE] stage=db_init_migrate ms=3.9
2026-06-03 22:30:38.470303 | WARNING  | pid=175140 tid=5364 | component=viewer role=main | PacsClient.pacs.workstation_ui.mainwindow_ui.__init__ | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [STARTUP_STAGE] stage=setup_ui ms=25.5
2026-06-03 22:30:38.488633 | INFO     | pid=175140 tid=5364 | component=other role=main | PacsClient.pacs.workstation_ui.shortcut_manager._setup_shortcuts | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Shortcuts initialized: F5/F6/F7/F8 and arrow navigation
2026-06-03 22:30:38.489588 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.mainwindow_ui.__init__ | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Shortcut Manager initialized
2026-06-03 22:30:38.691660 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=4.6% rss=418.3MB io=read=171.1KB/s write=50.6KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:38.846774 | WARNING  | pid=175140 tid=196892 | component=viewer role=main | aipacs.main_thread_probe._f11_sampler | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | [MAIN_THREAD_STALL_TRACE] gap_ms=435.9 drag_active=False frames=15 stack=File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 1497, in <module> |     loop.run_forever() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\.venv\Lib\site-packages\qasync\__init__.py", line 404, in run_forever |     rslt = self.__app.exec() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 907, in notify |     return super().notify(receiver, event) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 907, in notify |     return super().notify(receiver, event) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\app_handler.py", line 987, in _open_main_window |     self.main_page = MainWindowWidget( >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\mainwindow_ui.py", line 115, in __init__ |     self.add_AIPacs_tab() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\mainwindow_ui.py", line 1016, in add_AIPacs_tab |     self.control_panel = ControlPanelInterface(tab_widget=self.tab_widget, host_window=self) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\AIPacs_ui.py", line 51, in __init__ |     self.ui.setupUi() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\AIPacs_ui.py", line 632, in setupUi |     self.home_widget = home_ui.HomePanelWidget( >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\home_panel\widget.py", line 205, in __init__ |     self.setup_left_panel() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\home_panel\_hp_layout.py", line 281, in setup_left_panel |     self.patient_search_widget = PatientSearchWidget() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\patient_search_widget.py", line 25, in __init__ |     self.setup_ui() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\patient_search_widget.py", line 87, in setup_ui |     self._apply_field_styling() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\patient_search_widget.py", line 422, in _apply_field_styling |     field.setStyleSheet(f""" >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 976, in notify |     if dur >= notify_thr:
